text;abortion
Acredito que a justiça deva permitir esse procedimento apenas em situações de risco de vida ou em situações de crime de abusos tanto em adultos quanto em crianças.;for
Apesar de haver uma discussão à respeito do período em que um aglomerado de células se torna uma vida, é muito claro que na sociedade atual o aborto existe e é praticado todos os dias por quem tem condições financeiras. A proibição do aborto é uma punição apenas para as mulheres que não tem como pagar um aborto clandestino e está entre uma das cinco maiores causas da morte materna.;for
A vida é um mistério, é dom divino, não é à toa que há mulheres que não podem engravidar. Independente da situação, abortar é sentenciar à morte quem ainda nem teve a chance de viver.;against
Acho que é um direito da pessoa que gera o concepto e que terá ou não condições de educá-lo , amá-lo ou prosseguir por condições clínicas a gestação do mesmo. É importante também, evitar a morbi-letalidade ocasionada por abortos clandestinos, mal conduzidos que são grandes problemas de saúde pública no nosso meio.;for
Sou a favor do aborto porque já temos muitas crianças rejeitadas por seus familiares em orfanatos. E você gerar um filho de um estupro, violência sexual, falta de condições é fazer uma criança infeliz para o resto da vida. Sou a favor do aborto mas que ele tenha um motivo legal.;for
A tema do aborto é bastante complexo. normalmente o aborto deve existir quando há risco para a gestante. É uma decisão que cabe a família e a gestante. Vejo que as pessoas devem ter liberdade de poder decidir o que quer fazer para si mesma.;for
O aborto clandestino possui um risco e, apesar de não ter dados em mãos agora, já li notícias de que a incidência de mortes de mães é grande. Acredito que a legalização deve acontecer, mas com restrições. Não concordo em banalizar o aborto para pessoas que apenas acreditam não terem condições de criar a criança. Para esse caso deve-se incentivar a colocação para adoção e não o aborto. Em casos como estupro e outros correlatos eu sou a favor.;for
Eu creio que a proibição do aborto não traz nenhum bem à sociedade. Apesar de existir a visão de que você está terminando com uma vida humano de alguns lados, há a impressão para mim que a legalização do aborto diminuiria o número de crianças não desejadas, que têm o risco de não serem bem tratados ou crescerem em ambientes tóxicos devido a essa falta de desejo da mãe. Além disso, a falta de legalidade no aborto não pára os abortos, somente os move para lugares escondidos, que são menos regulamentados e mais perigosos, o que pode causar um dano maior.;for
Sou contra o aborto. Entretanto, segundo o ministério da saúde,   diariamente, cerca de 4 mulheres morrem por complicações, resultadas de tentativas de aborto. Em 2016 foram mais de 123 mil casos. E criminalizar não tem diminuído o número de óbito não só da criança, Mas também da mãe. Ao meu ver, a solução é dar suporte e criar uma rede de acolhimento para que estas mães tenham condições para ter a criança mesmo sem a figura paterna, oferecer a possibilidade de adoção e apoiar está mãe em suas necessidades para que não veja a criança como um problema.;for
É uma questão que envolve outras questões relacionadas. Antes da legalização (que provavelmente ocorrerá) necessidade de educar, formar e informar cidadãos é essencial. Outras soluções também deveriam ser viabilizadas, como a disponibilidade de adoção de crianças desde o ventre, considerando o imenso número de candidatos a adoção (que inclusive supera onde crianças disponíveis para a adoção). Mais opções para que o aborto não pareça a única escolha.;against
Legalizar o aborto é uma questão de saúde pública, o aborto existe e vai continuar existindo a legalização significa oferecer as mulheres um tratamento de qualidade na hora de realizar esta decisão. Quem quer abortar, vai abortar e isso é uma decisão que cabe apenas a mulher, a legalização não significa que todos irão abortar e sim que quem quiser terá acesso aos procedimentos seguros para realizar o procedimento. É um crime obrigarmos a mulher a levar adiante uma gravidez indesejada.;for
"Estudei muito sobre psicologia de forma amadora, e sei que a formação de um caráter tem quase 100% da influência em uma infância bem cuidada. O que mais temos são crianças que nascem em situações precárias que não recebem suporte emocional digno para crescerem mentalmente saudáveis. Por isso, apesar de ser contra o aborto de forma pessoal, acho que seria bom pra comunidade como um todo se essas infâncias infelizes pudessem ser evitadas. Tenho um blog sobre gravidez, e todos os dias aparecem adolescentes e jovens adultas pedindo ""ajuda"" pois mesmo com todo o conhecimento disponível tiveram relações desprotegidas e estão desesperadas porque não podem estar grávidas....";for
Sou a favor desde que seja um procedimento justificado. Se a mulher foi violentada e engravidou, sem dúvida nenhuma tem o direito de abortar. Mas fazer aborto por fazer, porque esqueceu de pedir para o parceiro colocar a camisinha, por exemplo, aí não concordo.;neutral
A regulamentação do aborto é necessária para evitar a morte de mulheres que praticam abortos clandestinos. No entanto, deve haver restrições. Um feto desenvolve consciência a partir do terceiro mês de gravidez (desenvolvimento do cérebro). Dado que o cérebro é condição sine qua non para o conceito de vida humana, é aceitável que se realize uma interrupção de gravidez até o terceiro mês. Após esse prazo podemos considerar que há um ser humano a ser considerado. Também pelo princípio do dano de Mill, o direito de uma pessoa plenamente desenvolvida e ciente de sua existência (mãe) prevalece sobre a vida potencial em gestação, de modo que o Estado não deveria proibir o aborto e, em países que possuem serviço de saúde universal, executar o procedimento na rede pública de saúde. Também é pertinente lembrar que uma regulamentação da interrupção de gravidez deve vir acompanhada de campanhas de prevenção à gravidez e planejamento familiar.;for
O aborto é algo por si só condenável e cruel. Porém, não acho que o Estado deva interferir em questões de ordem pessoal. O Estado deve investir mais em campanhas de conscientização e para prevenção de gravidez indesejada.;for
o aborto ilegal já é uma prática comum na população brasileira, realidade evidenciada quando vemos que a operação de emergência mais praticada pelo SUS é de curetagem, que é a retirada dos restos de um aborto que não foi bem sucedido. A legalização seria apenas uma forma de propor métodos mais seguros para uma prática que já é comum.;for
O direito de escolha sobre as questões do corpo devem ser decididas pela pessoa em questão. A gravidez, especialmente em casos de risco, não é algo que deve ser imposto, assim como nenhuma condição.;for
Entendo que a proibição do aborto não evita, ou diminui muito pouco, a quantidade de abortos efetuados. Todas as mulheres que optarem por esta decisão, terão uma forma de efetuá-la clandestinamente, colocando em risco sua saúde em clínicas precárias. Acredito que a legalização poderia aumentar a fiscalização e melhorar a atendimento às mulheres submetidas ao procedimento.;for
O aborto já é realizado clandestinamente de forma que várias vidas são postas em risco. Creio que clinicas especializadas podem sim realizar o aborto de maneira que a pessoa que se dispõe a realiza-lo esteja segura. Em casos de estupros a rede pública de saúde tem o dever de realizar o aborto nesses casos, pois a vítima não possui culpa do ato ocorrido.;for
Minha opinião é que seja legalizada, mas não que isso seja um meio para casais desleixados e que não se cuidem possam usar o recurso sempre que quiserem. mas não tenho ideia de como controlar isso.;neutral
Mesmo que não agrade setores religiosos, acho que a decisão de trazer ou não uma criança para o mundo deve ser da mãe que como ninguém mais entende o ambiente em que esta criança crescerá.;for
O aborto já é realizado no Brasil, a diferença está entre quem pode pagar pelo procedimento e quem não pode. Quem não pode recorre a clinicas clandestinas, onde a vida da mulher não é garantida e nem que o procedimento será executado da melhor forma possível. Toda mulher deveria ter direito a escolher ser mãe a hora que ela quiser, a maternidade compulsória não é uma boa opção e não traz bons frutos.;for
"O aborto deveria ser legalizado em alguns casos, como estupro, risco de vida à mãe ou em casos especiais. Caso contrário, geraria um procedimento ""normal"", onde não haveria controle.";neutral
O aborto é outra questão muito religiosa. Obrigar uma mulher a manter o fruto de um estupro ou mesmo uma mulher que foi abandonada ou não, mas que não tem condições de criar uma criança é um ato que vai contra a mulher e inclusive contra a criança. Costumam dizer pra dar à luz a criança e depois dá-la a um orfanato. O problema é que quem fala isso não se vê adotando uma criança, ou seja, é hipócrita quanto à situação da mulher e da criança. Fora que as condições dos orfanatos é muito precária, com grande lotação e geralmente com baixas condições de educação e cuidado para com as crianças. Porém, o aborto não é algo que se possa fazer com frequência, já que traz risco à vida da mulher, então o ideal seria que se educasse as mulheres que realizaram aborto explicando os riscos e incentivando os métodos anticoncepcionais para tentar evitar uma nova gravidez quando esta foi gerada por acidente, não por estupro. Em casos de estupro é ainda mais cruel para a mulher manter a gestação, já que ela terá conhecimento de que aquela criança surgiu de uma experiência absurdamente traumática. Obrigá-la a conviver com isso é algo muito cruel por parte da sociedade.;for
O corpo humano não é propriedade do estado e sim do indivíduo. Se uma mulher deseja não concluir a gestação por qualquer razão nenhum agente externo deve ter o direito de opinar já que isso está diretamente ligado com a saúde dela.;for
A partir do momento em que uma mulher engravida, ela tem a incumbência de carregar e sustentar o bebê por nove meses dentro do corpo DELA. Logo, nada mais justo do que deixar pra ELA decidir se quer isso pra vida dela ou não. Os números, obtidos em países que têm o aborto legalizado, nos mostram que o número de abortos não aumentou depois da legalização. Isso mostra que quem quer abortar aborta, então que seja de forma legal e segura para todos.;for
Quem quer abortar vai abortar, o mínimo que o Estado pode fazer é oferecer uma opção digna para que isso seja feito por um profissional. Ser pró vida não é defender o nascimento de uma criança indesejada, é saber adiar um nascimento para quando o casal realmente tenha condições de criá-la.;for
Acredito que em casos especiais, como o estupro, o aborto deveria ser legalizado, afinal o filho não foi por conta de algo que a mulher fez porque ela quis, foi obra de um violência e violação de diversos direitos, sendo que o nascimento dessa criança poderia ser fonte de sofrimento não só pra mãe e familiares, mas também para a própria criança que em muitos casos seria mal tratada, não seria amada como uma criança deveria, seria abandonada ou poderia acontecer coisas piores. Além disso, essas mulheres podem ir atrás de outras formas de aborto, de forma que a não legalização só iria incentivar o aborto fora dos hospitais, trazendo mais riscos para a mãe e quebrando a lei de qualquer modo.  Outro caso que acho importante destacar seria o de anencefalia. Pois, essa bebês com essa doença não tem chance alguma de sobreviver por muito e pode trazer diversos riscos à mãe, não apenas riscos fisiológicos pelo parto, mas também psicológicos por ela dar à luz e logo em seguida ter que testemunhar a morte do recém-nascido.;neutral
Acredito que o aborto provavelmente deveria ser legalizado. Em países onde isso aconteceu, pôde-se observar, inclusive, uma redução no número de abortos. Existe uma questão social que vai muito além de gerar ou não gerar uma vida. A legalização ou não do aborto deve ser uma questão que considera o contexto social como um todo e não apenas um momento pontual. Em quais condições aquele ser humano irá viver, o que ele representa na vida das pessoas que o vão criar, como esse indivíduo irá se encaixar na sociedade, etc. No entanto, vale lembrar que a legalização do aborto não resolve a origem do problema. O país precisa trabalhar fortemente fornecendo apoio às mulheres grávidas e trabalhando na conscientização e prevenção.;for
Sou contra porque creio que por mais que algumas meninas infelizmente sofrem abusos sexuais, como o estupro e acabam engravidando, a criança não tem culpa do que aconteceu. E somente Deus tem o direito de conceder e de tirar a vida de alguém, mas a própria pessoa em si não tem direito de escolha, se resolve viver ou morrer. Pois vejo que existem tantas famílias que conseguem sustentar um monte de filhos, porque uma mulher não sustentaria essa criança que está por nascer!?. Sempre alguém na família terá condições de cuidar da criança, pois fome e necessidade ela não vai passar. Pois por mais que a gravidez ocorreu devido a um estupro, Deus é especialista em transformar maldição em benção, pois não é que eu queira falar de religião aqui, mas no meu ver quero trazer o lado positivo do assunto. Pois, Deus pode abençoar essa criança para que a mesma venha trazer alegrias para a família da mãe e a própria vítima do estupro (que no caso é a mãe da criança).;against
Na minha opinião, o feto também é uma vida, por isso acredito que o aborto não deveria ser legalizado. Existem métodos para evitar a gravidez não desejada.;neutral
Acredito que é muito mais eficiente legalizar aborto em diversas situações e não acredito que o valor de um feto seja o mesmo do futuro de uma pessoa que já é racional.;for
JAMAIS concordaria com isso!! Tenho 32 anos e nunca engravidei! Tenho irmãs, primas e amigas que também nunca engravidaram porque receberam a educação para isso. O que nos falta é a política de EDUCAÇÃO SEXUAL e não usar o aborto como método contraceptivo. Qual é o problema em se falar de usar camisinha, tomar remédios, não permitir que o homem ejacule dentro da vagina da mulher? Qual é o problema? Qual é a dificuldade? Por que é tão difícil nos tempos de hoje priorizar a informação e a educação? Como Psicóloga, falo com propriedade sobre os danos psicológicos que as mulheres sofrem com a gravidez interrompida, com a TPM e período menstrual, a mulher sempre sente de uma forma muito particular suas dores e se já é uma coisa terrível enfrentar os dias de menstruação, imagina o que essas meninas, garotas e mulheres sentiriam de dor após um aborto? Como ficariam suas mentes ? quais as consequências e riscos para o corpo? qual o número limite para isso? Não, isso não é algo para se lutar! É preciso lutar pela educação dessas mulheres e homens também! Deixar claro que sem planejamento familiar, as consequências é só o aumento da pobreza e falta de recursos para sustentar as famílias. O essencial é controlar sim a natalidade e com isso trazer maior independência para as mulheres principalmente! A pílula anticoncepcional foi uma das maiores revoluções para a independência da mulher e por qual motivo devemos regredir agora? Por que não lutar em prol de uma educação que consiga atingir todas as mulheres do país? Com a internet a informação agora chega muito mais fácil, não há mais desculpas! Somos um dos países campeões em números de celulares ativos! Então por que não passar as informações para o povo? A prevenção sempre será o melhor remédio! Evitar dores, problemas, conflitos, gastos e pressões na vida destas mulheres que não podem sustentar um filho, porque não possuem apoio do pai, não possuem estrutura familiar, emocional e financeira para isso.  Qual o problema em se falar de prazer? que elas podem sim transar e ter prazer, serem felizes com seus parceiros, porém, com RESPONSABILIDADE, porque no sexo irresponsável não é só gravidez o problema, existem inúmeras doenças que poderiam ser extintas se todo mundo se cuidasse de verdade, se existisse a política da prevenção e não viver apagando incêndios como estamos acostumados a fazer.;against
O direito à vida, deve ser preservado pelo Estado a todo ser humano e principalmente aos que não possuem condições de defesa, no entanto, deve ser observado as exceções já aplicadas em lei, de forma que não crie uma crise social. O fato de haver mulheres morrendo em decorrência da pratica de aborto ilegal, deve ser tratado de forma educacional, garantindo a educação sexual de meninos e meninas para um planejamento de vida, optando por ter filhos ou não, isto hoje é possível em decorrência de vários métodos anticoncepcionais, novamente deve o indivíduo assumir a responsabilidade de suas ações.;against
"O aborto é, de fato, o descarte de uma vida. Porém, creio que não devemos nos apoiar somente neste pequeno fato e nos esquecer de todo o resto: não abortar significa trazer ao mundo um bebê indefeso, futura criança. Sabendo disso, vale discorrer sobre os diferentes casos para o aborto: estupro, feto com má formação e/ou sérios problemas de saúde, e uma ""simples"" gravidez indesejada. Em se tratando de um estupro, para mim não há o que discutir: o aborto deve ser liberado, visto que é extremamente injusto e egoísta condenar uma mulher a relembrar seu trauma para sempre ao ver seu filho/a. Uma gravidez não significa somente meses de complicações e uma dor final (parto), significa também o cuidado, carinho e gasto financeiro com o novo ser. É justo interromper abruptamente a vida de uma mulher (que deverá para sempre cuidar de seu filho, ajustar sua rotina de vida à de seu filho, além de gastar enormes quantias de dinheiro para criá-lo com saúde) que engravidou por meio de um ato de extrema violência como um estupro? Definitivamente não! Outro caso é o da gravidez de um feto com sérios problemas de saúde. Novamente, pergunto, é justo condenar uma criança a uma vida inteira de sofrimento, provável bullying e dor, por conta de uma má formação durante a gestação? Com má formação não quero dizer simplesmente a falta de um dedo, mas sim doenças muito mais graves, como um bebê com Progéria. Não acho justo forçar uma pessoa a viver e crescer com doenças tão graves e debilitantes. Novamente, a decisão final é da mãe, não quero aqui dizer que todo e qualquer bebê com certa doença física deve ser abortado. Mas creio que a única coisa justa a se fazer é deixar a mãe (possivelmente junto com sua família) decidir, afinal é ela quem terá de cuidar do bebê. O último caso é o da gravidez indesejada, sendo este provavelmente o mais debatido. Novamente, creio que neste caso o aborto também deva ser permitido. O corpo e vida é da mãe, e ela deveria poder decidir sobre si mesma.";for
1o Liberdade de escolha sobre o seu próprio corpo.  2o até 3 meses não tem atividade cerebral e não há vida. Da mesma forma que declaramos uma pessoa como morta quando não há atividade cerebral não podemos afirmar que um conjunto de células que não tem atividade cerebral já tenha vida.;for
Decisão complicada abortar até pelo fator religioso, acho mais prudente investir em prevenção. Na visão da religião espírita se uma pessoa vem para a terra ela tem que cumprir sua missão, assim como quem vai gerar essa vida também tem sua missão a cumprir;neutral
A única pessoa a quem cabe essa decisão é a mulher (ou a opinião conjunta do casal, se for o caso). A legalização do aborto não gera mais aborto, ela só dá suporte e abertura social e de sanidade pública para evitar que mulheres morram diariamente por optarem não gerar um fruto indesejado ou de um estupro.;for
