text;gun-control
As pessoas tem o direito de possuir qualquer bem material, ter arma não implica em ser criminoso. Até porque um pessoa criminosa pode usar qualquer coisa como arma.;for
Não considero prudente armar uma população. A história já provou que população armada causa tragédia. Acredito que o porte de armas deve ser reservada apenas às forças armadas e às polícias.;against
Acredito que o ser humano ainda não tem maturidade suficiente para saber portar uma arma com segurança e isto adiciona uma série de riscos para a sociedade, como por exemplo, em caso de brigas de trânsito, traição do cônjuge, discussão em baladas noturnas e desavenças de qualquer tipo. Num futuro distante onde o ser humano tenha respeito ao próximo, a arma também não será necessária devido ao grau de evolução da sociedade que não mais precisará dela.;against
É uma questão técnica as pessoas não estão Preparadas para usar arma de fogo Elas têm que estar preparada para se defender com ou sem arma de fogo podemos entender isso como uma falsa proteção;against
Acredito que o manuseio de armas deve ser algo que necessite de treinamento. Atualmente, não vejo como um cidadão comum possa utilizar uma arma sem consequências.;against
Acredito que o cidadão deveria ter o direito à possuir uma arma, entretanto, deveria ter uma legislação severa, cursos e testes psicológicos validando assim a possibilidade de obter tão dispositivo.;for
Nossa sociedade não possui um nível de educação e ética suficientes para poder portar uma arma de fogo uma vez que qualquer pessoa que porta uma arma de fogo é um potencial assassino e não viável que o governo consiga dar um mínimo de treinamento para cada um que queira possuir uma arma.;against
Se o porte de armas for legalizada, a milícia não poderá, por exemplo, retirar as armas legalmente das mãos dos criminosos, ou seja, enquanto não realizar crime com a própria arma, não há forma do estado controlar a posse das armas.;against
Um bom exemplo do caos da liberação do porte de armas é os Estados Unidos, onde a todo tempo temos notícias de cidadãos comuns cometendo crimes bárbaros.;against
Acredito que o porte de armas exija treinamento técnico e estabilidade emocional. Cidadãos comuns podem usar as armas para fins que aumentariam a violência em vez de diminui-la, como em brigas de trânsito ou entre vizinhos.;against
O porte de armas não deveria ser aceito no Brasil. Na minha opinião, a população não é preparada para esse uso. Em qualquer situação, seja banal, ou não, se tiver uma oportunidade, podem usa-la de um jeito errado.;against
Apesar de acreditar que as pessoas são livres, o porte de armas por civis representa um grande perigo à vida dos outros cidadãos e ao equilíbrio da sociedade como um todo.;against
Não acho que nosso povo seja responsável para ter porte de arma. Ter uma arma não significa necessariamente que você está mais seguro. Acredito que essa decisão só vai gerar um aumento no número de ferido e mortos por arma de fogo.;neutral
A defesa do porte de armas se dá comumente sob a falaciosa ideia de segurança que ela proporciona. Porém, a segurança não se encontra no objeto, mas sim num sistema que preza pela bem estar social. Assim, o porte de armas acaba por ser um disparador de situações que podem vir a ser mais graves do que precisariam, uma vez que o indivíduo passa a se considerar no poder de julgar quando, onde e o que quiser, podendo causar consequências graves e irreversíveis.;against
O porte de armas deveria, provavelmente, ser liberado aqueles que atendam os requisitos para possuir essa permissão. Outro ponto é a questão da liberdade de indivíduo escolher o que é melhor para si.;for
O porte de armas por um cidadão comum poderia ser legítimo em casos de proteção pessoal ou determinadas atividades bastante específicas. Porém, o que vemos, muitas vezes, é a utilização de armas pelos cidadãos comuns em situações banais, como brigas familiares, discussões de trânsito, brigas entre vizinhos, ou até mesmo para suicídios e demonstração de poder. Os casos em que podem ser gerados danos de diversas naturezas superam os casos em que realmente o porte de armas traz algum tipo de benefício. Portanto, não dar o direito a um cidadão comum do porte de armas, talvez seja a melhor opção para prevenir que haja prejuízos à sociedade.;against
Acredito que a principal razão do porte de armas não estar liberado é o medo da população causar uma guerra civil, já que muitos estão revoltados com tanta corrupção no país. Infelizmente é uma discussão totalmente política, onde as empresas bélicas também usam de chantagem emocional afim somente de ganhar dinheiro sem se preocupar com as consequências. Acredito que pessoas capacitadas devem sim portar armas, e que as leis deveriam ser pesadas para casos que não sejam realmente necessários o uso de uma arma. Outra razão é que não é difícil conseguir uma arma, portanto se uma pessoa deseja fazer algo, não é o fato do porte ser ilegal que irá impedi-la.;for
o cidadão não deve portar armas, pois muitas crianças são vítimas de armas de fogo em casa e o cidadão não estará mais seguro portando e sim será mais um alvo para o criminoso que precisa de mais uma arma;against
"Não é justo em um pais com índices de violência tal alto e uma vasta desigualdade social que apenas bandidos ""possam"" andar armados. O porte de arma, nem que seja em um caso residencial, deve ser um direito do cidadão de bem, para que esse possa se proteger e proteger a sua família.";for
O ideal seria a proibição completa de qualquer tipo de porte de armas, no entanto, na sociedade tão violenta que vivemos atualmente no pais. A proibição de porte de armas as pessoas de bem nos tira o direito de nos proteger dos criminosos que não estão sujeito a esta restrição, legalmente, de porte de armas.;neutral
Todo cidadão deve ter o direito de se defender. Uma população desarmada fica à mercê de seu próprio governo, vários governos na história desarmaram sua população após tomarem o poder, como exemplo temos o nazismo de Hitler e o comunismo de Stalin.;for
O porte de armas é um erro, pelo menos no Brasil... Nossa cultura é totalmente diferente de países onde o porte de armas é liberado. A maioria dos policiais treinados que matam alguém em ofício necessitam de tratamento psicológico e psiquiátrico, um cidadão comum não teria condições de utilizar uma arma de fogo contra outra pessoa.;against
A facilidade de comprar armas pode gerar ainda mais mortes em um País repleto de desigualdade social. As dificuldades do cotidiano na vida de um cidadão comum podem ter consequências trágicas quando uma arma é usada em situações de tensão emocional.;neutral
O porte de arma poderia existir. Mas não tenho certeza como o brasileiro utilizaria este benefício. Acredito que se usada para legítima defesa seria bom, porém acho que em uma simples discussão de trânsito pode tornar uma tragédia.;for
Acredito que nas atuais circunstâncias no país o cidadão comum não tem a mínima maturidade para portar uma arma de fogo. Faço parte de uma família com diversos policiais e incansavelmente toda semana alguma tragédia acontece com policiais devidamente treinados para portar uma arma. Acidentes, brigas de trânsito, discussões familiares, erro na operação no equipamento, bebidas alcoólicas, entre diversos outros motivos me deixam claro que uma pessoa comum, mesmo que submetida a diversos testes não tem nem condições de portar uma arma de fogo;against
